"year","region","category","Number of people","Percentage"
"1955","West. Hem","Judaism Total","5,642,323","0.0158"
"1955","West. Hem","Islam Sunni","0","0"
"1955","West. Hem","Islam Shi’a","0","0"
"1955","West. Hem","Islam Ibadhi","0","0"
"1955","West. Hem","Islam Nation of Islam","0","0"
"1955","West. Hem","Islam Alawite","0","0"
"1955","West. Hem","Islam Ahmadiyya","0","0"
"1955","West. Hem","Islam Other","2,730","0"
"1955","West. Hem","Islam Total","2,730","0"
"1955","West. Hem","Buddhism Mahayana","0","0"
"1955","West. Hem","Buddhism Theravada","0","0"
"1955","West. Hem","Buddhism Other","613,095","0.0017"
"1955","West. Hem","Buddhism Total","613,095","0.0017"
"1955","West. Hem","Zoroastrian Total","0","0"
"1955","West. Hem","Hindu Total","1,003","0"
"1955","West. Hem","Sikh Total","5,000","0"
"1955","West. Hem","Shinto Total","0","0"
"1955","West. Hem","Baha’i Total","500","0"
"1955","West. Hem","Taoism Total","0","0"
"1955","West. Hem","Confucianism Total","0","0"
"1955","West. Hem","Jain Total","171,199","0.0005"
"1955","West. Hem","Syncretic Religions Total","6,898,286","0.0193"
"1955","West. Hem","Animist Religions Total","250,001","0.0007"
"1955","West. Hem","Non. Religious Total","23,641,928","0.066"
"1955","West. Hem","Other Religions Total","15,490,767","0.0432"
"1955","West. Hem","Sum of Religion Adherents","340,345,738","0.9501"
"1955","West. Hem","Total Population","358,220,000","1.0161"
"1955","West. Hem","worldpop","2,536,000,000","0.1413"
"1960","Africa","Christianity Protestants","13,038,381","0.0876"
"1960","Africa","Christianity Roman Catholics","14,074,508","0.0946"
"1960","Africa","Christianity Eastern Orthodox","8,239,314","0.0554"
"1960","Africa","Christianity Anglican","3,033,366","0.0204"
"1960","Africa","Christianity Others","23,172,234","0.1557"
"1960","Africa","Christianity Total","61,557,803","0.4137"
"1960","Africa","Judaism Orthodox","0","0"
"1960","Africa","Judaism Conservatives","0","0"
"1960","Africa","Judaism Reform","0","0"
"1960","Africa","Judaism Others","138,994","0.0009"
"1960","Africa","Judaism Total","138,994","0.0009"
"1960","Africa","Islam Sunni","4,990,792","0.0335"
"1960","Africa","Islam Shi’a","0","0"
"1960","Africa","Islam Ibadhi","0","0"
"1960","Africa","Islam Nation of Islam","0","0"
"1960","Africa","Islam Alawite","0","0"
"1960","Africa","Islam Ahmadiyya","0","0"
"1960","Africa","Islam Other","37,917,444","0.2548"
"1960","Africa","Islam Total","42,908,236","0.2884"
"1960","Africa","Buddhism Mahayana","0","0"
"1960","Africa","Buddhism Theravada","0","0"
"1960","Africa","Buddhism Other","3,416","0"
"1960","Africa","Buddhism Total","3,416","0"
"1960","Africa","Zoroastrian Total","0","0"
"1960","Africa","Hindu Total","363,925","0.0024"
"1960","Africa","Sikh Total","2,971","0"
"1960","Africa","Shinto Total","0","0"
"1960","Africa","Baha’i Total","157,462","0.0011"
"1960","Africa","Taoism Total","0","0"
"1960","Africa","Confucianism Total","0","0"
"1960","Africa","Jain Total","0","0"
"1960","Africa","Syncretic Religions Total","4,646","0"
"1960","Africa","Animist Religions Total","42,355,767","0.2846"
"1960","Africa","Non. Religious Total","265,053","0.0018"
"1960","Africa","Other Religions Total","1,047,727","0.007"
"1960","Africa","Sum of Religion Adherents","148,540,947","0.9982"
"1960","Africa","Total Population","148,806,000","1"
"1960","Africa","worldpop","2,921,000,000","0.0509"
"1960","Asia","Christianity Protestants","17,884,779","0.0112"
"1960","Asia","Christianity Roman Catholics","41,601,765","0.0261"
"1960","Asia","Christianity Eastern Orthodox","1,518,027","0.001"
"1960","Asia","Christianity Anglican","4,071,747","0.0026"
"1960","Asia","Christianity Others","9,108,298","0.0057"
"1960","Asia","Christianity Total","74,184,616","0.0465"
"1960","Asia","Judaism Orthodox","0","0"
"1960","Asia","Judaism Conservatives","0","0"
"1960","Asia","Judaism Reform","0","0"
"1960","Asia","Judaism Others","80,005","0.0001"
"1960","Asia","Judaism Total","80,005","0.0001"
"1960","Asia","Islam Sunni","9,537,389","0.006"
"1960","Asia","Islam Shi’a","1,000,000","0.0006"
"1960","Asia","Islam Ibadhi","0","0"
"1960","Asia","Islam Nation of Islam","0","0"
"1960","Asia","Islam Alawite","0","0"
"1960","Asia","Islam Ahmadiyya","0","0"
"1960","Asia","Islam Other","229,633,620","0.1441"
"1960","Asia","Islam Total","240,171,009","0.1507"
"1960","Asia","Buddhism Mahayana","0","0"
"1960","Asia","Buddhism Theravada","16,766,250","0.0105"
"1960","Asia","Buddhism Other","179,897,730","0.1129"
"1960","Asia","Buddhism Total","196,663,980","0.1234"
"1960","Asia","Zoroastrian Total","170,443","0.0001"
"1960","Asia","Hindu Total","360,471,285","0.2261"
"1960","Asia","Sikh Total","7,980,296","0.005"
"1960","Asia","Shinto Total","71,357,167","0.0448"
"1960","Asia","Baha’i Total","899,468","0.0006"
"1960","Asia","Taoism Total","1,357,348","0.0009"
"1960","Asia","Confucianism Total","2,029,510","0.0013"
"1960","Asia","Jain Total","3,251,560","0.002"
"1960","Asia","Syncretic Religions Total","317,448,262","0.1991"
"1960","Asia","Animist Religions Total","89,171,314","0.0559"
"1960","Asia","Non. Religious Total","278,617,080","0.1748"
"1960","Asia","Other Religions Total","2,879,327","0.0018"
"1960","Asia","Sum of Religion Adherents","1,368,115,590","0.8583"
"1960","Asia","Total Population","1,594,029,976","1.0331"
"1960","Asia","worldpop","2,921,000,000","0.5457"
"1960","Europe","Christianity Protestants","86,615,387","0.1354"
"1960","Europe","Christianity Roman Catholics","232,373,678","0.3634"
"1960","Europe","Christianity Eastern Orthodox","102,354,051","0.1601"
"1960","Europe","Christianity Anglican","29,372,814","0.0459"
"1960","Europe","Christianity Others","7,610,228","0.0119"
"1960","Europe","Christianity Total","458,326,158","0.7167"
"1960","Europe","Judaism Orthodox","0","0"
"1960","Europe","Judaism Conservatives","0","0"
"1960","Europe","Judaism Reform","0","0"
"1960","Europe","Judaism Others","5,068,023","0.0079"
"1960","Europe","Judaism Total","5,068,023","0.0079"
"1960","Europe","Islam Sunni","0","0"
"1960","Europe","Islam Shi’a","0","0"
"1960","Europe","Islam Ibadhi","0","0"
"1960","Europe","Islam Nation of Islam","0","0"
"1960","Europe","Islam Alawite","0","0"
"1960","Europe","Islam Ahmadiyya","0","0"
"1960","Europe","Islam Other","35,477,503","0.0555"
"1960","Europe","Islam Total","35,477,503","0.0555"
"1960","Europe","Buddhism Mahayana","0","0"
"1960","Europe","Buddhism Theravada","0","0"
"1960","Europe","Buddhism Other","853,421","0.0013"
"1960","Europe","Buddhism Total","853,421","0.0013"
"1960","Europe","Zoroastrian Total","0","0"
"1960","Europe","Hindu Total","142,373","0.0002"
"1960","Europe","Sikh Total","104,871","0.0002"
"1960","Europe","Shinto Total","0","0"
"1960","Europe","Baha’i Total","21,419","0"
"1960","Europe","Taoism Total","0","0"
"1960","Europe","Confucianism Total","2,250","0"
"1960","Europe","Jain Total","0","0"
"1960","Europe","Syncretic Religions Total","37,975","0.0001"
"1960","Europe","Animist Religions Total","1,141,720","0.0018"
"1960","Europe","Non. Religious Total","133,709,658","0.2091"
"1960","Europe","Other Religions Total","4,580,629","0.0072"
"1960","Europe","Sum of Religion Adherents","505,756,342","0.7909"
"1960","Europe","Total Population","639,466,000","1"
"1960","Europe","worldpop","2,921,000,000","0.2189"
"1960","Mideast","Christianity Protestants","23,416","0.0002"
"1960","Mideast","Christianity Roman Catholics","1,627,382","0.0126"
"1960","Mideast","Christianity Eastern Orthodox","2,292,182","0.0178"
"1960","Mideast","Christianity Anglican","0","0"
"1960","Mideast","Christianity Others","1,530,960","0.0119"
"1960","Mideast","Christianity Total","5,473,940","0.0425"
"1960","Mideast","Judaism Orthodox","1,794,474","0.0139"
"1960","Mideast","Judaism Conservatives","10,875","0.0001"
"1960","Mideast","Judaism Reform","7,250","0.0001"
"1960","Mideast","Judaism Others","322,686","0.0025"
"1960","Mideast","Judaism Total","2,135,285","0.0166"
"1960","Mideast","Islam Sunni","89,797,203","0.6967"
"1960","Mideast","Islam Shi’a","26,174,803","0.2031"
"1960","Mideast","Islam Ibadhi","0","0"
"1960","Mideast","Islam Nation of Islam","0","0"
"1960","Mideast","Islam Alawite","521,848","0.004"
"1960","Mideast","Islam Ahmadiyya","0","0"
"1960","Mideast","Islam Other","20,950","0.0002"
"1960","Mideast","Islam Total","116,514,804","0.904"
"1960","Mideast","Buddhism Mahayana","0","0"
"1960","Mideast","Buddhism Theravada","0","0"
"1960","Mideast","Buddhism Other","0","0"
"1960","Mideast","Buddhism Total","0","0"
"1960","Mideast","Zoroastrian Total","0","0"
"1960","Mideast","Hindu Total","0","0"
"1960","Mideast","Sikh Total","0","0"
"1960","Mideast","Shinto Total","0","0"
"1960","Mideast","Baha’i Total","200,000","0.0016"
"1960","Mideast","Taoism Total","0","0"
"1960","Mideast","Confucianism Total","0","0"
"1960","Mideast","Jain Total","0","0"
"1960","Mideast","Syncretic Religions Total","0","0"
"1960","Mideast","Animist Religions Total","2,800,000","0.0217"
"1960","Mideast","Non. Religious Total","277","0"
"1960","Mideast","Other Religions Total","1,762,694","0.0137"
"1960","Mideast","Sum of Religion Adherents","128,886,723","1"
"1960","Mideast","Total Population","128,887,000","1"
"1960","Mideast","worldpop","2,921,000,000","0.0441"
"1960","West. Hem","Christianity Protestants","102,731,807","0.2508"
"1960","West. Hem","Christianity Roman Catholics","252,280,539","0.6159"
"1960","West. Hem","Christianity Eastern Orthodox","3,864,535","0.0094"
"1960","West. Hem","Christianity Anglican","5,368,773","0.0131"
"1960","West. Hem","Christianity Others","3,179,424","0.0078"
"1960","West. Hem","Christianity Total","367,425,078","0.897"
"1960","West. Hem","Judaism Orthodox","1,024,373","0.0025"
"1960","West. Hem","Judaism Conservatives","1,706,028","0.0042"
"1960","West. Hem","Judaism Reform","2,293,155","0.0056"
"1960","West. Hem","Judaism Others","1,282,993","0.0031"
"1960","West. Hem","Judaism Total","6,306,549","0.0154"
"1960","West. Hem","Islam Sunni","0","0"
"1960","West. Hem","Islam Shi’a","0","0"
"1960","West. Hem","Islam Ibadhi","0","0"
"1960","West. Hem","Islam Nation of Islam","0","0"
"1960","West. Hem","Islam Alawite","0","0"
"1960","West. Hem","Islam Ahmadiyya","0","0"
"1960","West. Hem","Islam Other","51,536","0.0001"
"1960","West. Hem","Islam Total","51,536","0.0001"
"1960","West. Hem","Buddhism Mahayana","0","0"
"1960","West. Hem","Buddhism Theravada","0","0"
"1960","West. Hem","Buddhism Other","2,918,342","0.0071"
"1960","West. Hem","Buddhism Total","2,918,342","0.0071"
"1960","West. Hem","Zoroastrian Total","0","0"
"1960","West. Hem","Hindu Total","191,584","0.0005"
"1960","West. Hem","Sikh Total","0","0"
"1960","West. Hem","Shinto Total","0","0"
"1960","West. Hem","Baha’i Total","0","0"
"1960","West. Hem","Taoism Total","0","0"
"1960","West. Hem","Confucianism Total","0","0"
"1960","West. Hem","Jain Total","342,398","0.0008"
"1960","West. Hem","Syncretic Religions Total","7,525,200","0.0184"
"1960","West. Hem","Animist Religions Total","300,000","0.0007"
"1960","West. Hem","Non. Religious Total","22,037,603","0.0538"
"1960","West. Hem","Other Religions Total","8,634,058","0.0211"
"1960","West. Hem","Sum of Religion Adherents","393,694,745","0.9612"
"1960","West. Hem","Total Population","409,598,148","1.015"
"1960","West. Hem","worldpop","2,921,000,000","0.1402"
"1965","Africa","Christianity Protestants","20,608,952","0.0937"
"1965","Africa","Christianity Roman Catholics","28,626,956","0.1301"
"1965","Africa","Christianity Eastern Orthodox","9,117,352","0.0414"
"1965","Africa","Christianity Anglican","5,727,195","0.026"
"1965","Africa","Christianity Others","34,020,771","0.1547"
"1965","Africa","Christianity Total","98,101,226","0.446"
"1965","Africa","Judaism Orthodox","0","0"
"1965","Africa","Judaism Conservatives","0","0"
"1965","Africa","Judaism Reform","0","0"
"1965","Africa","Judaism Others","147,929","0.0007"
"1965","Africa","Judaism Total","147,929","0.0007"
"1965","Africa","Islam Sunni","6,027,156","0.0274"
"1965","Africa","Islam Shi’a","0","0"
"1965","Africa","Islam Ibadhi","0","0"
"1965","Africa","Islam Nation of Islam","0","0"
"1965","Africa","Islam Alawite","0","0"
"1965","Africa","Islam Ahmadiyya","0","0"
"1965","Africa","Islam Other","50,640,232","0.2302"
"1965","Africa","Islam Total","56,667,388","0.2576"
"1965","Africa","Buddhism Mahayana","0","0"
"1965","Africa","Buddhism Theravada","0","0"
"1965","Africa","Buddhism Other","4,572","0"
"1965","Africa","Buddhism Total","4,572","0"
"1965","Africa","Zoroastrian Total","324","0"
"1965","Africa","Hindu Total","548,874","0.0025"
"1965","Africa","Sikh Total","25,853","0.0001"
"1965","Africa","Shinto Total","0","0"
"1965","Africa","Baha’i Total","557,883","0.0025"
"1965","Africa","Taoism Total","0","0"
"1965","Africa","Confucianism Total","28,913","0.0001"
"1965","Africa","Jain Total","0","0"
"1965","Africa","Syncretic Religions Total","14,203","0.0001"
"1965","Africa","Animist Religions Total","61,942,649","0.2816"
"1965","Africa","Non. Religious Total","354,423","0.0016"
"1965","Africa","Other Religions Total","1,570,763","0.0071"
"1965","Africa","Sum of Religion Adherents","219,610,577","0.9984"
"1965","Africa","Total Population","219,965,000","1"
"1965","Africa","worldpop","3,280,000,000","0.0671"
"1965","Asia","Christianity Protestants","21,008,991","0.0119"
"1965","Asia","Christianity Roman Catholics","48,324,442","0.0273"
"1965","Asia","Christianity Eastern Orthodox","1,857,898","0.001"
"1965","Asia","Christianity Anglican","4,513,000","0.0025"
"1965","Asia","Christianity Others","9,780,318","0.0055"
"1965","Asia","Christianity Total","85,484,649","0.0482"
"1965","Asia","Judaism Orthodox","0","0"
"1965","Asia","Judaism Conservatives","0","0"
"1965","Asia","Judaism Reform","0","0"
"1965","Asia","Judaism Others","79,304","0"
"1965","Asia","Judaism Total","79,304","0"
"1965","Asia","Islam Sunni","10,805,320","0.0061"
"1965","Asia","Islam Shi’a","1,020,000","0.0006"
"1965","Asia","Islam Ibadhi","0","0"
"1965","Asia","Islam Nation of Islam","0","0"
"1965","Asia","Islam Alawite","0","0"
"1965","Asia","Islam Ahmadiyya","0","0"
"1965","Asia","Islam Other","263,388,381","0.1486"
"1965","Asia","Islam Total","275,213,701","0.1553"
"1965","Asia","Buddhism Mahayana","0","0"
"1965","Asia","Buddhism Theravada","18,305,680","0.0103"
"1965","Asia","Buddhism Other","191,365,422","0.108"
"1965","Asia","Buddhism Total","209,671,102","0.1183"
"1965","Asia","Zoroastrian Total","138,682","0.0001"
"1965","Asia","Hindu Total","396,909,711","0.2239"
"1965","Asia","Sikh Total","8,717,537","0.0049"
"1965","Asia","Shinto Total","74,982,591","0.0423"
"1965","Asia","Baha’i Total","1,046,723","0.0006"
"1965","Asia","Taoism Total","1,702,647","0.001"
"1965","Asia","Confucianism Total","2,309,710","0.0013"
"1965","Asia","Jain Total","4,065,157","0.0023"
"1965","Asia","Syncretic Religions Total","350,788,060","0.1979"
"1965","Asia","Animist Religions Total","94,583,167","0.0534"
"1965","Asia","Non. Religious Total","305,127,190","0.1721"
"1965","Asia","Other Religions Total","18,999,278","0.0107"
"1965","Asia","Sum of Religion Adherents","1,524,692,019","0.8601"
"1965","Asia","Total Population","1,772,609,960","1.0323"
"1965","Asia","worldpop","3,280,000,000","0.5404"
"1965","Europe","Christianity Protestants","87,270,229","0.129"
"1965","Europe","Christianity Roman Catholics","243,240,445","0.3597"
"1965","Europe","Christianity Eastern Orthodox","107,031,360","0.1583"
"1965","Europe","Christianity Anglican","29,346,138","0.0434"
"1965","Europe","Christianity Others","9,288,584","0.0137"
"1965","Europe","Christianity Total","476,176,756","0.7041"
"1965","Europe","Judaism Orthodox","0","0"
"1965","Europe","Judaism Conservatives","0","0"
"1965","Europe","Judaism Reform","0","0"
"1965","Europe","Judaism Others","4,983,768","0.0074"
"1965","Europe","Judaism Total","4,983,768","0.0074"
"1965","Europe","Islam Sunni","0","0"
"1965","Europe","Islam Shi’a","0","0"
"1965","Europe","Islam Ibadhi","0","0"
"1965","Europe","Islam Nation of Islam","0","0"
"1965","Europe","Islam Alawite","0","0"
"1965","Europe","Islam Ahmadiyya","0","0"
"1965","Europe","Islam Other","36,814,738","0.0544"
"1965","Europe","Islam Total","36,814,738","0.0544"
"1965","Europe","Buddhism Mahayana","0","0"
"1965","Europe","Buddhism Theravada","0","0"
"1965","Europe","Buddhism Other","900,068","0.0013"
"1965","Europe","Buddhism Total","900,068","0.0013"
"1965","Europe","Zoroastrian Total","0","0"
"1965","Europe","Hindu Total","191,110","0.0003"
"1965","Europe","Sikh Total","152,295","0.0002"
"1965","Europe","Shinto Total","0","0"
"1965","Europe","Baha’i Total","28,308","0"
"1965","Europe","Taoism Total","0","0"
"1965","Europe","Confucianism Total","3,125","0"
"1965","Europe","Jain Total","0","0"
"1965","Europe","Syncretic Religions Total","49,559","0.0001"
"1965","Europe","Animist Religions Total","1,093,535","0.0016"
"1965","Europe","Non. Religious Total","147,965,351","0.2188"
"1965","Europe","Other Religions Total","7,956,387","0.0118"
"1965","Europe","Sum of Religion Adherents","528,349,649","0.7812"
"1965","Europe","Total Population","676,315,000","1"
"1965","Europe","worldpop","3,280,000,000","0.2062"
"1965","Mideast","Christianity Protestants","31,888","0.0002"
"1965","Mideast","Christianity Roman Catholics","2,864,431","0.0179"
"1965","Mideast","Christianity Eastern Orthodox","2,592,130","0.0162"
"1965","Mideast","Christianity Anglican","38,500","0.0002"
"1965","Mideast","Christianity Others","527,560","0.0033"
"1965","Mideast","Christianity Total","6,054,509","0.0379"
"1965","Mideast","Judaism Orthodox","2,247,102","0.0141"
"1965","Mideast","Judaism Conservatives","13,618","0.0001"
"1965","Mideast","Judaism Reform","9,079","0.0001"
"1965","Mideast","Judaism Others","355,314","0.0022"
"1965","Mideast","Judaism Total","2,625,113","0.0164"
"1965","Mideast","Islam Sunni","112,360,336","0.7033"
"1965","Mideast","Islam Shi’a","16,077,714","0.1006"
"1965","Mideast","Islam Ibadhi","40,000","0.0003"
"1965","Mideast","Islam Nation of Islam","0","0"
"1965","Mideast","Islam Alawite","598,115","0.0037"
"1965","Mideast","Islam Ahmadiyya","0","0"
"1965","Mideast","Islam Other","16,772,097","0.105"
"1965","Mideast","Islam Total","145,848,262","0.9129"
"1965","Mideast","Buddhism Mahayana","0","0"
"1965","Mideast","Buddhism Theravada","0","0"
"1965","Mideast","Buddhism Other","0","0"
"1965","Mideast","Buddhism Total","0","0"
"1965","Mideast","Zoroastrian Total","9,938","0.0001"
"1965","Mideast","Hindu Total","0","0"
"1965","Mideast","Sikh Total","0","0"
"1965","Mideast","Shinto Total","0","0"
"1965","Mideast","Baha’i Total","17,627","0.0001"
"1965","Mideast","Taoism Total","0","0"
"1965","Mideast","Confucianism Total","0","0"
"1965","Mideast","Jain Total","0","0"
"1965","Mideast","Syncretic Religions Total","0","0"
"1965","Mideast","Animist Religions Total","2,995,006","0.0187"
"1965","Mideast","Non. Religious Total","47,680","0.0003"
"1965","Mideast","Other Religions Total","2,156,865","0.0135"
"1965","Mideast","Sum of Religion Adherents","159,707,320","0.9997"
"1965","Mideast","Total Population","159,755,000","1"
"1965","Mideast","worldpop","3,280,000,000","0.0487"
"1965","West. Hem","Christianity Protestants","105,517,643","0.234"
"1965","West. Hem","Christianity Roman Catholics","291,058,747","0.6454"
"1965","West. Hem","Christianity Eastern Orthodox","5,355,754","0.0119"
"1965","West. Hem","Christianity Anglican","5,461,806","0.0121"
"1965","West. Hem","Christianity Others","1,502,696","0.0033"
"1965","West. Hem","Christianity Total","408,896,646","0.9067"
"1965","West. Hem","Judaism Orthodox","1,048,530","0.0023"
"1965","West. Hem","Judaism Conservatives","1,746,727","0.0039"
"1965","West. Hem","Judaism Reform","2,338,997","0.0052"
"1965","West. Hem","Judaism Others","1,283,311","0.0028"
"1965","West. Hem","Judaism Total","6,417,565","0.0142"
"1965","West. Hem","Islam Sunni","0","0"
"1965","West. Hem","Islam Shi’a","0","0"
"1965","West. Hem","Islam Ibadhi","0","0"
"1965","West. Hem","Islam Nation of Islam","0","0"
"1965","West. Hem","Islam Alawite","0","0"
"1965","West. Hem","Islam Ahmadiyya","0","0"
"1965","West. Hem","Islam Other","89,968","0.0002"
"1965","West. Hem","Islam Total","89,968","0.0002"
"1965","West. Hem","Buddhism Mahayana","0","0"
"1965","West. Hem","Buddhism Theravada","0","0"
"1965","West. Hem","Buddhism Other","2,017,642","0.0045"
"1965","West. Hem","Buddhism Total","2,017,642","0.0045"
"1965","West. Hem","Zoroastrian Total","0","0"
"1965","West. Hem","Hindu Total","213,487","0.0005"
"1965","West. Hem","Sikh Total","0","0"
"1965","West. Hem","Shinto Total","0","0"
"1965","West. Hem","Baha’i Total","8,350","0"
"1965","West. Hem","Taoism Total","2,000","0"
"1965","West. Hem","Confucianism Total","0","0"
"1965","West. Hem","Jain Total","376,219","0.0008"
"1965","West. Hem","Syncretic Religions Total","7,993,000","0.0177"
"1965","West. Hem","Animist Religions Total","279,349","0.0006"
"1965","West. Hem","Non. Religious Total","20,603,206","0.0457"
"1965","West. Hem","Other Religions Total","10,476,376","0.0232"
"1965","West. Hem","Sum of Religion Adherents","436,770,602","0.9685"
"1965","West. Hem","Total Population","450,956,507","1.0142"
"1965","West. Hem","worldpop","3,280,000,000","0.1375"
"1970","Africa","Christianity Protestants","25,615,793","0.1002"
"1970","Africa","Christianity Roman Catholics","38,089,508","0.1491"
"1970","Africa","Christianity Eastern Orthodox","9,726,348","0.0381"
"1970","Africa","Christianity Anglican","7,268,620","0.0284"
"1970","Africa","Christianity Others","41,386,699","0.162"
"1970","Africa","Christianity Total","122,086,968","0.4778"
"1970","Africa","Judaism Orthodox","0","0"
"1970","Africa","Judaism Conservatives","0","0"
"1970","Africa","Judaism Reform","0","0"
"1970","Africa","Judaism Others","151,537","0.0006"
"1970","Africa","Judaism Total","151,537","0.0006"
"1970","Africa","Islam Sunni","7,474,780","0.0293"
"1970","Africa","Islam Shi’a","0","0"
"1970","Africa","Islam Ibadhi","0","0"
"1970","Africa","Islam Nation of Islam","0","0"
"1970","Africa","Islam Alawite","0","0"
"1970","Africa","Islam Ahmadiyya","0","0"
"1970","Africa","Islam Other","59,343,505","0.2322"
"1970","Africa","Islam Total","66,818,285","0.2615"
"1970","Africa","Buddhism Mahayana","0","0"
"1970","Africa","Buddhism Theravada","0","0"
"1970","Africa","Buddhism Other","11,299","0"
"1970","Africa","Buddhism Total","11,299","0"
"1970","Africa","Zoroastrian Total","472","0"
"1970","Africa","Hindu Total","991,566","0.0039"
"1970","Africa","Sikh Total","26,094","0.0001"
"1970","Africa","Shinto Total","0","0"
"1970","Africa","Baha’i Total","701,507","0.0027"
"1970","Africa","Taoism Total","0","0"
"1970","Africa","Confucianism Total","32,861","0.0001"
"1970","Africa","Jain Total","0","0"
"1970","Africa","Syncretic Religions Total","17,679","0.0001"
"1970","Africa","Animist Religions Total","63,335,604","0.2479"
"1970","Africa","Non. Religious Total","446,303","0.0017"
"1970","Africa","Other Religions Total","916,825","0.0036"
"1970","Africa","Sum of Religion Adherents","255,090,697","0.9983"
"1970","Africa","Total Population","255,537,000","1"
"1970","Africa","worldpop","3,655,000,000","0.0699"
"1970","Asia","Christianity Protestants","23,692,514","0.0118"
"1970","Asia","Christianity Roman Catholics","54,128,278","0.0269"
"1970","Asia","Christianity Eastern Orthodox","2,196,653","0.0011"
"1970","Asia","Christianity Anglican","4,894,990","0.0024"
"1970","Asia","Christianity Others","17,824,360","0.0089"
"1970","Asia","Christianity Total","102,736,795","0.051"
"1970","Asia","Judaism Orthodox","0","0"
"1970","Asia","Judaism Conservatives","0","0"
"1970","Asia","Judaism Reform","0","0"
"1970","Asia","Judaism Others","78,269","0"
"1970","Asia","Judaism Total","78,269","0"
"1970","Asia","Islam Sunni","11,703,860","0.0058"
"1970","Asia","Islam Shi’a","1,268,900","0.0006"
"1970","Asia","Islam Ibadhi","0","0"
"1970","Asia","Islam Nation of Islam","0","0"
"1970","Asia","Islam Alawite","0","0"
"1970","Asia","Islam Ahmadiyya","0","0"
"1970","Asia","Islam Other","305,478,789","0.1517"
"1970","Asia","Islam Total","318,451,549","0.1582"
"1970","Asia","Buddhism Mahayana","0","0"
"1970","Asia","Buddhism Theravada","20,862,636","0.0104"
"1970","Asia","Buddhism Other","205,627,244","0.1021"
"1970","Asia","Buddhism Total","226,489,880","0.1125"
"1970","Asia","Zoroastrian Total","106,789","0.0001"
"1970","Asia","Hindu Total","448,086,953","0.2226"
"1970","Asia","Sikh Total","10,441,204","0.0052"
"1970","Asia","Shinto Total","79,155,350","0.0393"
"1970","Asia","Baha’i Total","1,177,687","0.0006"
"1970","Asia","Taoism Total","1,965,466","0.001"
"1970","Asia","Confucianism Total","2,590,921","0.0013"
"1970","Asia","Jain Total","4,878,755","0.0024"
"1970","Asia","Syncretic Religions Total","370,782,297","0.1842"
"1970","Asia","Animist Religions Total","98,686,228","0.049"
"1970","Asia","Non. Religious Total","398,889,032","0.1981"
"1970","Asia","Other Religions Total","11,119,903","0.0055"
"1970","Asia","Sum of Religion Adherents","1,676,748,046","0.8328"
"1970","Asia","Total Population","2,013,375,984","1.0309"
"1970","Asia","worldpop","3,655,000,000","0.5509"
"1970","Europe","Christianity Protestants","87,380,610","0.1243"
"1970","Europe","Christianity Roman Catholics","248,209,651","0.353"
"1970","Europe","Christianity Eastern Orthodox","112,215,607","0.1596"
"1970","Europe","Christianity Anglican","29,225,607","0.0416"
"1970","Europe","Christianity Others","11,248,267","0.016"
"1970","Europe","Christianity Total","488,279,742","0.6944"
"1970","Europe","Judaism Orthodox","0","0"
"1970","Europe","Judaism Conservatives","0","0"
"1970","Europe","Judaism Reform","0","0"
"1970","Europe","Judaism Others","4,883,835","0.0069"
"1970","Europe","Judaism Total","4,883,835","0.0069"
"1970","Europe","Islam Sunni","0","0"
"1970","Europe","Islam Shi’a","0","0"
"1970","Europe","Islam Ibadhi","0","0"
"1970","Europe","Islam Nation of Islam","0","0"
"1970","Europe","Islam Alawite","0","0"
"1970","Europe","Islam Ahmadiyya","0","0"
"1970","Europe","Islam Other","38,264,883","0.0544"
"1970","Europe","Islam Total","38,264,883","0.0544"
"1970","Europe","Buddhism Mahayana","0","0"
"1970","Europe","Buddhism Theravada","0","0"
"1970","Europe","Buddhism Other","955,963","0.0014"
"1970","Europe","Buddhism Total","955,963","0.0014"
"1970","Europe","Zoroastrian Total","410","0"
"1970","Europe","Hindu Total","242,896","0.0003"
"1970","Europe","Sikh Total","199,719","0.0003"
"1970","Europe","Shinto Total","0","0"
"1970","Europe","Baha’i Total","49,039","0.0001"
"1970","Europe","Taoism Total","0","0"
"1970","Europe","Confucianism Total","4,000","0"
"1970","Europe","Jain Total","1,004","0"
"1970","Europe","Syncretic Religions Total","62,146","0.0001"
"1970","Europe","Animist Religions Total","1,047,415","0.0015"
"1970","Europe","Non. Religious Total","162,011,668","0.2304"
"1970","Europe","Other Religions Total","7,126,528","0.0101"
"1970","Europe","Sum of Religion Adherents","541,117,580","0.7696"
"1970","Europe","Total Population","703,129,248","1"
"1970","Europe","worldpop","3,655,000,000","0.1924"
"1970","Mideast","Christianity Protestants","36,181","0.0002"
"1970","Mideast","Christianity Roman Catholics","2,696,173","0.0146"
"1970","Mideast","Christianity Eastern Orthodox","4,103,446","0.0222"
"1970","Mideast","Christianity Anglican","87,580","0.0005"
"1970","Mideast","Christianity Others","1,340,824","0.0073"
"1970","Mideast","Christianity Total","8,264,204","0.0448"
"1970","Mideast","Judaism Orthodox","2,517,669","0.0136"
"1970","Mideast","Judaism Conservatives","15,258","0.0001"
"1970","Mideast","Judaism Reform","10,172","0.0001"
"1970","Mideast","Judaism Others","41,135","0.0002"
"1970","Mideast","Judaism Total","2,584,234","0.014"
